n°Record;Freq;Signal-Level [];Video Quality (0-1-2);LAT;N/S;LON;E/W;DIST GPS[Km];Speed GPS[Km/h];DISTODO[Km];Speed ODO [km/h];Date;Time ;CRC-error;EMF level [dBuV/m];Antenna K factor [dB/m];Correction [dB]
8;619500000;-;2;45.07023;N;7.663839;E;0.01;4.322486;-;-;16/06/2025;12:11:14;0;-;-;-
17;619500000;-;2;45.070185;N;7.663947;E;0.02;6.183481;-;-;16/06/2025;12:11:23;0;-;-;-
23;619500000;-;2;45.070163;N;7.664069;E;0.03;7.169939;-;-;16/06/2025;12:11:29;0;-;-;-
29;619500000;-;2;45.070116;N;7.664177;E;0.04;5.903597;-;-;16/06/2025;12:11:35;0;-;-;-
36;619500000;-;2;45.070093;N;7.664305;E;0.05;4.649904;-;-;16/06/2025;12:11:42;0;-;-;-
43;619500000;-;2;45.070052;N;7.664423;E;0.06;5.55246;-;-;16/06/2025;12:11:49;0;-;-;-
51;619500000;-;2;45.070002;N;7.664542;E;0.07;4.79949;-;-;16/06/2025;12:11:57;0;-;-;-
59;619500000;-;2;45.069943;N;7.664651;E;0.09;5.398392;-;-;16/06/2025;12:12:05;0;-;-;-
66;619500000;-;2;45.069903;N;7.664767;E;0.1;5.463261;-;-;16/06/2025;12:12:12;0;-;-;-
73;619500000;-;2;45.069882;N;7.664904;E;0.11;7.077455;-;-;16/06/2025;12:12:19;0;-;-;-
80;619500000;-;2;45.069805;N;7.664937;E;0.12;5.679972;-;-;16/06/2025;12:12:26;0;-;-;-
87;619500000;-;2;45.069714;N;7.664888;E;0.13;5.768269;-;-;16/06/2025;12:12:33;0;-;-;-
95;619500000;-;2;45.069628;N;7.664859;E;0.14;3.135482;-;-;16/06/2025;12:12:41;0;-;-;-
104;619500000;-;2;45.069582;N;7.664977;E;0.15;5.365399;-;-;16/06/2025;12:12:50;0;-;-;-
112;619500000;-;2;45.06954;N;7.665099;E;0.16;5.205641;-;-;16/06/2025;12:12:58;0;-;-;-
119;619500000;-;2;45.069475;N;7.665207;E;0.17;5.278796;-;-;16/06/2025;12:13:05;0;-;-;-
127;619500000;-;2;45.069419;N;7.665329;E;0.18;5.425032;-;-;16/06/2025;12:13:13;0;-;-;-
133;619500000;-;2;45.06935;N;7.66542;E;0.19;7.642129;-;-;16/06/2025;12:13:19;0;-;-;-
141;619500000;-;2;45.069332;N;7.665557;E;0.2;5.322299;-;-;16/06/2025;12:13:27;0;-;-;-
148;619500000;-;2;45.069326;N;7.665683;E;0.22;8.10841;-;-;16/06/2025;12:13:34;0;-;-;-
155;619500000;-;2;45.069312;N;7.665804;E;0.23;5.435999;-;-;16/06/2025;12:13:41;0;-;-;-
160;619500000;-;2;45.069319;N;7.6659;E;0.24;14.894847;-;-;16/06/2025;12:13:46;0;-;-;-
165;619500000;-;2;45.06936;N;7.666005;E;0.25;6.983191;-;-;16/06/2025;12:13:51;0;-;-;-
172;619500000;-;2;45.069351;N;7.666131;E;0.26;4.376519;-;-;16/06/2025;12:13:58;0;-;-;-
179;619500000;-;2;45.069351;N;7.666263;E;0.27;5.838433;-;-;16/06/2025;12:14:05;0;-;-;-
186;619500000;-;2;45.06934;N;7.666399;E;0.28;5.051182;-;-;16/06/2025;12:14:12;0;-;-;-
193;619500000;-;2;45.069315;N;7.666521;E;0.29;5.366055;-;-;16/06/2025;12:14:19;0;-;-;-
200;619500000;-;2;45.069285;N;7.666655;E;0.3;5.855966;-;-;16/06/2025;12:14:26;0;-;-;-
207;619500000;-;2;45.069256;N;7.666783;E;0.31;5.111173;-;-;16/06/2025;12:14:33;0;-;-;-
214;619500000;-;2;45.069223;N;7.666912;E;0.32;5.947018;-;-;16/06/2025;12:14:40;0;-;-;-
221;619500000;-;2;45.069197;N;7.667043;E;0.33;6.27077;-;-;16/06/2025;12:14:47;0;-;-;-
225;619500000;-;2;45.069101;N;7.667089;E;0.35;16.268713;-;-;16/06/2025;12:14:51;0;-;-;-
230;619500000;-;2;45.069008;N;7.667143;E;0.36;8.084665;-;-;16/06/2025;12:14:56;0;-;-;-
235;619500000;-;2;45.068907;N;7.667168;E;0.37;8.007141;-;-;16/06/2025;12:15:01;0;-;-;-
252;619500000;-;2;45.068818;N;7.667178;E;0.38;1.28779;-;-;16/06/2025;12:15:18;0;-;-;-
264;619500000;-;2;45.068769;N;7.66729;E;0.39;6.091081;-;-;16/06/2025;12:15:30;0;-;-;-
272;619500000;-;2;45.068716;N;7.667407;E;0.4;5.376537;-;-;16/06/2025;12:15:38;0;-;-;-
280;619500000;-;2;45.068679;N;7.667531;E;0.41;5.414641;-;-;16/06/2025;12:15:46;0;-;-;-
287;619500000;-;2;45.068633;N;7.667651;E;0.42;5.966549;-;-;16/06/2025;12:15:53;0;-;-;-
294;619500000;-;2;45.068604;N;7.667777;E;0.43;5.43043;-;-;16/06/2025;12:16:00;0;-;-;-
