n°Record;Freq;Signal-Level [];Video Quality (0-1-2);LAT;N/S;LON;E/W;DIST GPS[Km];Speed GPS[Km/h];DISTODO[Km];Speed ODO [km/h];Date;Time ;CRC-error;EMF level [dBuV/m];Antenna K factor [dB/m];Correction [dB]
8;619500000;-;2;45.062854;N;7.678078;E;0.05;331.6357;-;-;18/11/2024;08:53:36;0;-;-;-
28;619500000;-;2;45.062818;N;7.678178;E;0.06;9.372148;-;-;18/11/2024;08:53:56;0;-;-;-
35;619500000;-;2;45.062789;N;7.678302;E;0.07;10.914717;-;-;18/11/2024;08:54:03;0;-;-;-
41;619500000;-;2;45.06277;N;7.678426;E;0.08;12.969149;-;-;18/11/2024;08:54:09;0;-;-;-
47;619500000;-;2;45.062748;N;7.678547;E;0.09;5.488873;-;-;18/11/2024;08:54:15;0;-;-;-
54;619500000;-;2;45.062729;N;7.678668;E;0.1;6.981859;-;-;18/11/2024;08:54:22;0;-;-;-
61;619500000;-;2;45.062767;N;7.678802;E;0.12;7.505703;-;-;18/11/2024;08:54:29;0;-;-;-
68;619500000;-;2;45.062777;N;7.678939;E;0.13;5.268291;-;-;18/11/2024;08:54:36;0;-;-;-
74;619500000;-;2;45.062767;N;7.679056;E;0.14;6.788846;-;-;18/11/2024;08:54:42;0;-;-;-
81;619500000;-;2;45.06275;N;7.679185;E;0.15;5.235261;-;-;18/11/2024;08:54:49;0;-;-;-
88;619500000;-;2;45.062735;N;7.679306;E;0.16;6.474346;-;-;18/11/2024;08:54:56;0;-;-;-
94;619500000;-;2;45.062709;N;7.679424;E;0.17;6.132791;-;-;18/11/2024;08:55:02;0;-;-;-
100;619500000;-;2;45.062726;N;7.679547;E;0.18;9.112054;-;-;18/11/2024;08:55:08;0;-;-;-
106;619500000;-;2;45.062678;N;7.679646;E;0.2;20.530365;-;-;18/11/2024;08:55:14;0;-;-;-
107;619500000;-;2;45.062565;N;7.679631;E;0.21;45.661004;-;-;18/11/2024;08:55:15;0;-;-;-
109;619500000;-;2;45.06244;N;7.679633;E;0.22;21.032542;-;-;18/11/2024;08:55:17;0;-;-;-
114;619500000;-;2;45.062358;N;7.679695;E;0.23;11.964043;-;-;18/11/2024;08:55:22;0;-;-;-
119;619500000;-;2;45.062279;N;7.679765;E;0.24;6.954073;-;-;18/11/2024;08:55:27;0;-;-;-
127;619500000;-;2;45.062203;N;7.679849;E;0.25;3.717087;-;-;18/11/2024;08:55:35;0;-;-;-
157;619500000;-;2;45.062131;N;7.679905;E;0.26;4.85257;-;-;18/11/2024;08:56:05;0;-;-;-
164;619500000;-;2;45.062093;N;7.680026;E;0.27;5.883619;-;-;18/11/2024;08:56:12;0;-;-;-
173;619500000;-;2;45.062035;N;7.680116;E;0.28;2.404635;-;-;18/11/2024;08:56:21;0;-;-;-
181;619500000;-;2;45.062104;N;7.680196;E;0.3;4.556993;-;-;18/11/2024;08:56:29;0;-;-;-
189;619500000;-;0;45.062155;N;7.680289;E;0.31;4.233797;-;-;18/11/2024;08:56:37;0;-;-;-
